"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
68577,9/30/2016 0:00:00,5294,"INDIANA UNIVERSITY",209,"None"
68579,9/30/2016 0:00:00,15012,"PATELCO",252,"Patelco Credit Union"
68579,9/30/2016 0:00:00,15012,"PATELCO",253,"Patelco"
68579,9/30/2016 0:00:00,15012,"PATELCO",508,"Patelco Insurance Services"
68600,9/30/2016 0:00:00,13208,"MIDFLORIDA",491,"MIDFLORIDA Credit Union"
68600,9/30/2016 0:00:00,13208,"MIDFLORIDA",492,"MIDFLORIDA"
68600,9/30/2016 0:00:00,13208,"MIDFLORIDA",509,"MIDFLORIDA Schools FCU"
68600,9/30/2016 0:00:00,13208,"MIDFLORIDA",510,"MIDFLORIDA Federal Credit Union"
68605,9/30/2016 0:00:00,13039,"FIRST SERVICE",402,"FSCU"
68655,9/30/2016 0:00:00,4529,"MEMBERS CHOICE FINANCIAL",121,"MCFCU"
68655,9/30/2016 0:00:00,4529,"MEMBERS CHOICE FINANCIAL",122,"M-C Federal Credit Union"
68655,9/30/2016 0:00:00,4529,"MEMBERS CHOICE FINANCIAL",391,"Members Choice Financial Credit"
68655,9/30/2016 0:00:00,4529,"MEMBERS CHOICE FINANCIAL",392,"MC Financial Credit Union"
68655,9/30/2016 0:00:00,4529,"MEMBERS CHOICE FINANCIAL",440,"M-C Financial Credit Union"
68656,9/30/2016 0:00:00,4497,"OREGON STATE",229,"Oregon State CU Insurance Agency"
