Bank Name / Holding Co Name	Nat'l Rank	Bank ID	Bank Location	Charter	Consol Assets (Mil $)	Domestic Assets (Mil $)	Pct Domestic Assets	Pct Cumulative Assets	Domestic Branches	Foreign Branches	IBF	Pct Foreign Owned
FIRST CMNTY BK/COASTAL BEND BSHRS	1366	339456	CORPUS CHRISTI, TX	SNM	402	402	100	99	11	0	N	0.00
MIDSOUTH BK/MIDSOUTH BC	1367	929932	DOTHAN, AL	SNM	402	402	100	99	9	0	N	0.00
R BK/R CORP FNCL	1368	3821037	ROUND ROCK, TX	SNM	402	402	100	99	7	0	N	0.00
SARATOGA NB&TC/ARROW FC	1369	1211371	SARATOGA SPRINGS, NY	NAT	401	401	100	99	8	0	N	0.00
PIONEER BK/CITIZENS BK GROUP	1370	920854	MAPLETON, MN	SMB	401	401	100	99	5	0	N	0.00
INDUSTRIAL BK/IBW FC	1371	536527	WASHINGTON, DC	SNM	401	401	100	99	7	0	N	0.00
FIDELITY NB/CARLSON BSHRS	1372	848248	WEST MEMPHIS, AR	NAT	401	401	100	99	4	0	N	0.00
QUANTUM NB/QUANTUM CAP CORP	1373	2354387	SUWANEE, GA	NAT	400	400	100	99	1	0	N	0.00
SOUTH OTTUMWA SVG BK/CORNERSTONE FS GRP	1374	75446	OTTUMWA, IA	SNM	400	400	100	99	3	0	N	0.00
WEST TX ST BK/	1375	167864	ODESSA, TX	SNM	399	399	100	99	7	0	N	0.00
FIRST MN BK/MCLEOD BSHRS	1376	75053	MINNETONKA, MN	SNM	399	399	100	99	10	0	N	0.00
MIDSTATES BK NA/MIDSTATES BSHRS	1377	728948	COUNCIL BLUFFS, IA	NAT	399	399	100	99	5	0	N	0.00
BORDER ST BK/BORDER BSHRS	1378	977951	GREENBUSH, MN	SNM	399	399	100	99	6	0	N	0.00
SECURITY ST BK/SECURITY ST CORP	1379	111979	CENTRALIA, WA	SNM	398	398	100	99	11	0	N	0.00
FIRST KENTUCKY BK INC/EXCHANGE BSHRS	1380	263243	MAYFIELD, KY	SNM	398	398	100	99	10	0	N	0.00
SAINT LOUIS BK/SAINT LOUIS BSHRS	1381	3354599	TOWN AND COUNTRY, MO	SNM	398	398	100	99	0	0	N	0.00
ANDOVER BK/ANDOVER BC	1382	27614	ANDOVER, OH	SMB	398	398	100	99	12	0	N	0.00
OPTIMA B&TC/	1383	3689385	PORTSMOUTH, NH	SNM	398	398	100	99	4	0	N	0.00
COMMUNITY NB/COMMUNITY BSHRS	1384	354552	SENECA, KS	NAT	398	398	100	99	3	0	N	0.00
FIRST FSB/FIRST BC OF INDIANA	1385	613679	EVANSVILLE, IN	SNM	398	398	100	99	8	0	N	0.00
HNB NB/	1386	908553	HANNIBAL, MO	NAT	397	397	100	99	12	0	N	0.00
COMMERCIAL BK/COMMERCIAL NAT FC	1387	513340	ALMA, MI	SNM	397	397	100	99	8	0	N	0.00
NEW TRIPOLI BK/NEW TRIPOLI BC	1388	331713	NEW TRIPOLI, PA	SMB	397	397	100	99	1	0	N	0.00
EXCHANGE NB&TC CO/EXCHANGE BSHRS CORP OF KS	1389	144052	ATCHISON, KS	NAT	397	397	100	99	9	0	N	0.00
MIFFLINBURG B&TC/MIFFLINBURG BC	1390	779016	MIFFLINBURG, PA	SNM	396	396	100	99	5	0	N	0.00
EAGLE B&TC/STATE HOLDING CO	1391	453446	LITTLE ROCK, AR	SMB	396	396	100	99	12	0	N	0.00
HEARTLAND BK/GENEVA ST CO	1392	88455	HASTINGS, NE	SNM	395	395	100	99	7	0	N	0.00
GOLD COAST BK/	1393	3614369	ISLANDIA, NY	SNM	395	395	100	99	0	0	N	0.00
TEXAS CITIZENS BK NA/TEXAS CITIZENS BC	1394	3440830	PASADENA, TX	NAT	394	394	100	99	5	0	N	0.00
BANK OF GLEN BURNIE/GLEN BURNIE BC	1395	628123	GLEN BURNIE, MD	SNM	394	394	100	99	7	0	N	0.00
